src,dst,capacity_mbps,delay_ms,r_link
6,37,294,12.29,0.9706
6,60,957,4.55,0.9941
6,119,458,12.75,0.9951
6,127,925,13.94,0.9672
6,151,121,11.62,0.9974
6,154,321,14.87,0.9987
6,190,333,3.8,0.973
6,196,388,6.45,0.9655
6,210,911,6.93,0.9567
6,235,928,11.1,0.9511
6,242,376,12.99,0.9675
7,10,901,10.34,0.9689
7,57,712,6.49,0.971
7,81,371,11.21,0.9833
7,98,562,8.13,0.9875
7,143,204,14.13,0.9881
7,179,189,7.95,0.9738
7,184,737,14.9,0.9553
7,200,446,7.65,0.9866
7,207,215,13.5,0.9973
7,228,452,14.34,0.9793
7,233,383,6.71,0.9758
7,235,717,8.48,0.9913
7,245,603,12.36,0.9931
8,13,532,10.49,0.9504
8,61,480,7.12,0.9728
8,68,744,12.14,0.9824
8,74,297,10.46,0.9784
8,107,635,5.28,0.9855
8,125,326,7.98,0.9501
8,135,922,4.49,0.9506
8,143,471,14.08,0.9938
8,147,834,9.24,0.9776
8,163,469,7.88,0.9566
8,167,480,3.61,0.9793
8,168,952,8.72,0.981
8,172,332,6.74,0.9556
8,180,766,14.94,0.9863
8,212,413,10.49,0.9522
8,216,556,8.31,0.9597
9,26,797,10.46,0.9613
9,56,389,11.33,0.9615
9,76,625,10.18,0.9667
9,98,319,14.4,0.9843
9,99,353,12.4,0.9754
9,105,899,8.25,0.9609
9,186,674,7.14,0.9814
9,197,567,13.66,0.9989
9,208,329,4.54,0.9667
9,226,868,11.01,0.9815
10,35,792,12.7,0.9986
10,36,878,13.36,0.9601
10,40,530,6.23,0.9944
10,56,502,9.9,0.9594
10,60,387,10.82,0.9835
10,75,558,10.17,0.9932
10,92,362,14.51,0.9802
10,102,964,10.49,0.9903
10,146,692,11.47,0.9973
10,222,834,3.38,0.9835
10,240,680,4.79,0.9729
10,244,113,3.67,0.9877
10,245,378,9.29,0.9885
11,18,137,13.27,0.9624
11,29,780,13.15,0.9647
11,55,786,12.59,0.9989
11,56,448,9.47,0.9507
11,72,709,10.64,0.9569
11,92,946,4.69,0.9757
11,99,850,4.42,0.9775
11,133,572,10.67,0.9582
11,145,471,7.62,0.9736
11,166,522,4.36,0.9624
11,169,737,11.6,0.9816
11,173,813,10.1,0.9513
11,176,538,4.85,0.9714
11,183,544,13.64,0.966
12,18,401,4.04,0.9949
12,24,321,13.01,0.9664
12,44,758,11.44,0.9569
12,70,639,6.61,0.9696
12,72,472,3.2,0.9932
12,84,738,10.03,0.9576
12,90,175,12.68,0.9736
12,128,808,3.06,0.9906
12,151,454,9.46,0.9625
12,189,144,8.65,0.9668
12,200,131,12.64,0.9759
12,202,766,6.19,0.9901
12,211,366,13.61,0.9603
12,243,594,7.22,0.951
13,16,374,5.53,0.9575
13,23,150,4.2,0.9675
13,26,130,11.28,0.9826
13,64,497,14.29,0.9688
13,78,358,13.36,0.9848
13,116,683,11.41,0.9705
13,129,396,6.48,0.9706
13,200,641,6.54,0.9987
13,214,886,12.39,0.9572
13,229,432,6.42,0.9512
13,234,867,4.26,0.9877
13,247,119,6.66,0.9831
14,40,908,4.94,0.9668
14,55,762,12.5,0.9605
14,61,860,4.35,0.9767
14,80,966,4.57,0.9739
14,84,290,14.75,0.9907
14,100,131,11.99,0.9537
14,104,171,7.25,0.9939
14,113,870,10.45,0.9871
14,116,701,5.2,0.9624
14,119,853,3.42,0.9575
14,134,827,11.67,0.9728
14,148,145,8.11,0.9502
14,159,306,4.29,0.9776
14,162,234,12.73,0.9824
14,205,786,8.76,0.9675
14,231,279,3.24,0.9541
14,245,934,12.49,0.9541
15,24,218,6.27,0.9951
15,26,805,7.91,0.9516
15,27,439,13.67,0.9647
15,40,171,8.31,0.9939
15,43,374,7.38,0.9713
15,55,310,6.15,0.9518
15,69,403,12.26,0.9553
15,76,324,12.64,0.9752
15,109,943,3.3,0.9663
15,138,717,4.32,0.9538
15,161,184,5.06,0.9633
15,164,435,5.82,0.9611
15,167,302,14.43,0.9533
15,184,779,3.21,0.9695
15,188,392,3.32,0.9788
15,204,340,12.51,0.9743
15,224,154,10.95,0.9809
16,20,617,11.99,0.9673
16,38,168,10.2,0.9849
16,43,846,12.29,0.957
16,79,804,4.19,0.9582
16,82,586,6.95,0.9849
16,83,647,10.59,0.9629
16,87,169,4.71,0.9621
16,94,113,8.02,0.9668
16,97,291,9.25,0.9733
16,128,582,12.6,0.9523
16,129,380,9.15,0.986
16,132,680,9.27,0.9932
16,155,445,11.57,0.9957
16,194,450,13.33,0.9537
16,234,934,10.06,0.9922
17,30,917,8.43,0.9551
17,35,344,8.81,0.9982
17,54,453,7.04,0.9619
17,65,692,12.35,0.9789
17,84,411,6.78,0.975
17,93,764,12.73,0.9752
17,126,257,9.74,0.9556
17,138,219,8.85,0.9701
17,142,267,10.2,0.9659
17,147,825,11.57,0.9941
17,163,980,6.11,0.998
17,177,600,7.33,0.9726
17,214,781,4.6,0.9909
17,224,517,6.81,0.9928
17,238,950,9.97,0.9572
18,28,754,10.89,0.9867
18,31,953,14.09,0.9656
18,38,669,11.32,0.9731
18,59,814,7.01,0.9827
18,69,161,5.31,0.9646
18,71,220,7.57,0.985
18,145,485,13.32,0.981
18,210,252,6.15,0.9666
18,215,662,6.2,0.9693
18,217,125,7.81,0.9934
18,220,727,9.55,0.9672
18,229,956,5.64,0.9945
18,249,866,4.31,0.9576
19,51,183,12.03,0.9927
19,55,152,9.06,0.9865
19,106,605,5.13,0.9694
19,111,542,13.42,0.9988
19,125,335,9.47,0.9967
19,127,699,13.64,0.9952
19,149,107,8.89,0.9723
19,216,174,7.79,0.9548
19,218,493,9.04,0.9629
19,228,624,12.87,0.9614
20,49,850,4.19,0.9736
20,108,253,5.89,0.9749
20,133,991,14.98,0.9821
20,169,821,6.24,0.987
20,209,111,13.61,0.9519
20,222,594,13.07,0.9735
20,224,681,12.06,0.9595
20,227,930,14.99,0.967
20,231,393,3.82,0.9777
21,38,218,4.52,0.9813
21,90,465,14.8,0.9982
21,104,357,14.1,0.9976
21,120,454,7.06,0.9712
21,121,197,13.76,0.986
21,141,667,8.28,0.9765
21,163,967,10.65,0.9581
21,169,565,9.75,0.9828
21,204,886,9.95,0.9506
21,215,238,14.43,0.9604
21,241,330,14.88,0.9639
21,247,769,11.3,0.9815
22,69,714,10.94,0.9962
22,92,311,13.72,0.974
22,117,526,14.38,0.9677
22,184,152,11.94,0.9873
22,209,872,9.13,0.9595
22,227,603,10.23,0.9754
22,247,359,13.08,0.9899
23,33,873,12.64,0.9762
23,45,176,14.74,0.9603
23,64,698,5.79,0.9684
23,69,123,12.24,0.9856
23,107,316,13.59,0.9526
23,159,254,4.59,0.9932
23,162,732,14.52,0.9786
23,192,491,7.68,0.9812
23,223,268,3.74,0.9517
23,236,827,10.42,0.9885
24,67,918,6.73,0.9603
24,82,204,3.04,0.9811
24,125,154,12.56,0.9977
24,141,740,4.77,0.9924
24,171,747,5.8,0.9735
24,178,470,12.49,0.9698
24,199,419,4.48,0.9839
24,247,346,5.0,0.9694
25,27,563,11.13,0.9768
25,59,118,14.34,0.9556
25,114,868,4.99,0.9817
25,187,544,6.4,0.9807
25,191,151,10.66,0.9892
25,199,318,13.65,0.9855
25,201,425,3.42,0.9519
25,202,410,3.15,0.9729
25,215,489,6.96,0.991
25,222,843,8.53,0.9769
25,227,504,11.39,0.9516
26,28,330,14.05,0.9986
26,34,428,9.31,0.9815
26,43,217,7.8,0.956
26,44,852,9.41,0.9756
26,55,764,11.19,0.9697
26,64,251,7.5,0.9577
26,67,149,7.21,0.9854
26,112,335,3.25,0.9853
26,146,436,10.34,0.9501
26,178,202,7.68,0.9812
26,196,391,10.84,0.9762
26,248,692,5.89,0.9983
27,34,852,9.27,0.9654
27,53,114,9.36,0.9595
27,72,686,7.49,0.9829
27,80,156,11.04,0.9799
27,96,245,6.49,0.9629
27,111,411,13.74,0.9899
27,113,884,12.48,0.9655
27,125,719,4.6,0.9603
27,143,260,11.73,0.9943
27,171,794,5.68,0.9679
27,176,526,3.33,0.9793
27,229,676,11.6,0.9571
27,249,120,4.96,0.9963
28,42,415,8.51,0.9513
28,48,272,13.25,0.9818
28,103,849,8.48,0.9505
28,129,378,5.9,0.9971
28,134,544,10.07,0.9789
28,148,201,6.65,0.9687
28,180,600,5.09,0.9626
28,196,541,11.49,0.9955
28,232,995,12.39,0.9875
29,37,816,3.02,0.9885
29,61,990,5.21,0.9515
29,111,171,5.45,0.9878
29,126,254,14.81,0.9959
29,141,698,4.99,0.9956
29,147,600,7.22,0.9907
29,149,659,5.63,0.9819
29,150,120,12.66,0.9863
29,193,313,9.21,0.9906
29,208,733,7.12,0.9776
30,39,413,13.64,0.9666
30,70,728,3.63,0.9521
30,78,174,7.86,0.9603
30,104,632,7.16,0.9567
30,109,361,4.54,0.9677
30,124,310,14.98,0.952
30,165,521,10.68,0.9686
30,185,659,11.57,0.9921
30,206,849,9.58,0.976
30,217,882,14.3,0.979
30,225,964,13.32,0.9539
30,235,651,8.07,0.9859
31,33,416,12.23,0.9874
31,40,662,8.1,0.982
31,43,220,12.74,0.9903
31,60,983,5.76,0.9554
31,104,412,12.98,0.9696
31,179,369,11.73,0.9922
31,181,845,8.05,0.9959
31,183,319,12.01,0.9734
31,223,676,13.25,0.9817
32,46,855,9.75,0.9906
32,54,728,13.15,0.9849
32,56,961,11.59,0.9822
32,111,188,3.39,0.9689
32,125,475,7.42,0.9751
32,137,329,9.14,0.9513
32,153,615,8.18,0.9674
32,157,880,3.96,0.9743
32,178,126,9.46,0.9986
32,203,409,6.61,0.9536
32,204,953,7.03,0.9617
32,224,742,14.39,0.9956
33,59,333,7.7,0.9805
33,69,482,11.99,0.99
33,123,679,8.5,0.9842
33,141,248,4.57,0.9858
33,150,180,8.2,0.9683
33,171,877,4.13,0.9755
33,197,855,14.42,0.994
33,202,689,13.16,0.9888
33,218,112,9.97,0.9874
33,229,189,6.32,0.9832
34,76,511,14.58,0.9637
34,82,360,10.6,0.9637
34,146,699,4.01,0.9825
34,154,981,5.55,0.9857
34,167,470,14.96,0.9977
34,187,592,5.66,0.9609
34,199,513,10.08,0.9654
34,206,167,7.86,0.9614
34,215,699,8.83,0.9777
34,230,421,13.65,0.9558
35,73,208,13.91,0.9527
35,90,455,3.04,0.9836
35,120,661,8.82,0.9586
35,126,498,3.52,0.9734
35,155,122,12.78,0.9894
35,180,962,14.24,0.9619
35,184,664,6.8,0.9907
35,192,335,3.43,0.9519
35,216,811,7.17,0.9943
35,246,425,8.37,0.9891
36,43,556,11.93,0.9848
36,48,512,10.83,0.9887
36,74,606,9.08,0.9656
36,76,537,6.22,0.9865
36,80,584,12.47,0.9729
36,82,285,14.74,0.9937
36,120,675,4.62,0.9668
36,154,179,10.14,0.99
36,170,857,12.64,0.9568
36,178,802,3.19,0.9918
36,187,545,12.47,0.9938
36,218,935,12.79,0.984
36,231,749,12.45,0.9864
37,54,821,9.54,0.9706
37,94,857,13.46,0.9945
37,130,578,12.96,0.9622
37,184,255,8.93,0.9954
37,192,266,12.13,0.9549
37,210,416,12.44,0.9723
37,219,537,5.67,0.9986
38,47,334,14.92,0.9675
38,48,873,7.22,0.9981
38,61,477,8.72,0.9737
38,75,162,4.02,0.9716
38,82,658,14.75,0.9722
38,92,454,5.11,0.9755
38,101,829,13.84,0.9626
38,105,259,12.51,0.9777
38,119,180,4.5,0.9721
38,136,663,11.09,0.9859
38,148,416,7.08,0.9732
38,152,305,14.26,0.9506
38,172,592,12.01,0.9538
38,176,659,5.15,0.9519
38,182,148,10.22,0.9654
38,185,906,12.08,0.9961
38,236,386,12.09,0.9507
39,62,887,5.09,0.9938
39,106,264,9.6,0.9725
39,115,610,13.35,0.9947
39,145,613,7.25,0.9688
39,152,907,7.42,0.9671
39,163,711,12.02,0.9702
39,185,441,8.82,0.9639
39,191,652,11.76,0.9705
39,198,783,7.42,0.9668
39,220,638,13.08,0.9702
40,50,587,12.93,0.9733
40,66,737,5.94,0.9736
40,85,934,11.14,0.9675
40,107,682,3.68,0.9987
40,146,440,12.15,0.9544
40,148,581,13.19,0.9546
40,158,753,14.41,0.9882
40,210,762,4.16,0.9538
41,45,751,10.75,0.9583
41,49,385,10.77,0.9955
41,88,224,13.62,0.9655
41,102,730,13.46,0.962
41,111,474,11.91,0.9848
41,134,657,3.65,0.9954
41,150,410,14.36,0.9512
41,155,704,8.28,0.9978
41,173,596,9.3,0.9865
41,183,286,4.76,0.9936
41,185,801,11.84,0.9895
41,188,941,8.38,0.9809
41,237,265,11.27,0.9902
41,244,969,4.0,0.968
42,44,966,3.92,0.9847
42,45,558,12.7,0.9542
42,80,250,3.77,0.9759
42,114,771,4.78,0.9759
42,125,951,4.56,0.9833
42,128,959,5.48,0.9618
42,139,646,3.6,0.9798
42,201,955,7.39,0.9752
42,206,841,5.5,0.9759
43,64,780,5.89,0.9647
43,95,263,7.81,0.9725
43,127,127,12.0,0.9727
43,141,873,12.3,0.9655
43,156,945,8.08,0.9842
43,237,128,3.06,0.9891
44,92,894,4.11,0.9515
44,161,864,9.29,0.9794
44,171,720,8.2,0.9822
44,185,755,11.62,0.9768
44,189,620,10.99,0.9671
44,216,801,9.38,0.9814
44,226,930,14.66,0.9612
44,227,329,3.11,0.9755
44,236,910,7.74,0.9867
45,64,987,12.32,0.956
45,73,876,8.89,0.9578
45,90,831,12.37,0.9817
45,106,287,13.79,0.9622
45,136,244,9.88,0.9786
45,145,644,4.14,0.9815
45,147,327,3.74,0.9615
45,187,444,9.75,0.9632
45,227,857,10.66,0.9692
46,56,758,7.17,0.9966
46,70,299,9.81,0.9663
46,94,138,11.47,0.9755
46,95,699,11.83,0.9836
46,99,687,4.92,0.9675
46,101,358,12.23,0.9777
46,133,201,13.55,0.982
46,176,483,4.9,0.9674
46,182,207,9.09,0.965
46,221,261,8.32,0.9811
46,223,859,12.21,0.975
47,89,691,10.82,0.9626
47,97,880,5.14,0.9903
47,106,798,9.81,0.9509
47,107,242,10.52,0.9814
47,131,430,13.67,0.959
47,190,883,14.89,0.9893
47,200,371,3.49,0.9628
47,217,266,7.97,0.9889
48,62,384,5.51,0.954
48,67,614,12.56,0.9882
48,75,465,10.17,0.9796
48,103,339,7.05,0.9839
48,117,516,12.57,0.9709
48,118,294,10.4,0.9976
48,200,856,3.6,0.9971
48,217,777,4.39,0.9791
48,231,983,11.95,0.9958
48,240,652,8.26,0.9563
49,64,232,5.65,0.9769
49,69,456,3.72,0.985
49,82,971,13.87,0.9773
49,95,308,14.05,0.974
49,101,468,6.72,0.9531
49,155,295,10.33,0.9606
49,193,613,3.17,0.991
49,208,386,3.89,0.9909
49,211,286,13.08,0.9611
49,220,329,6.66,0.9519
49,227,760,7.11,0.9707
50,61,721,13.41,0.9566
50,94,897,13.18,0.96
50,104,511,6.27,0.9806
50,116,947,8.85,0.9737
50,121,316,12.47,0.9598
50,138,908,8.52,0.9721
50,152,108,4.32,0.9942
50,179,941,9.17,0.9736
50,232,653,4.78,0.9854
50,235,925,8.4,0.9589
50,242,205,13.38,0.9522
51,52,810,6.83,0.9868
51,73,885,8.28,0.9943
51,129,820,14.36,0.9984
51,135,325,9.6,0.9614
51,154,693,3.82,0.9886
51,168,187,10.09,0.9915
51,202,585,9.17,0.9629
52,71,883,10.48,0.9579
52,79,217,12.08,0.9677
52,80,258,8.25,0.9503
52,90,921,13.8,0.9715
52,117,179,11.5,0.9946
52,147,826,13.42,0.9655
52,169,675,4.8,0.9698
52,234,964,12.83,0.9722
52,239,592,12.58,0.9873
53,57,523,13.1,0.9626
53,103,223,7.31,0.9757
53,120,287,3.88,0.9613
53,146,423,3.26,0.9943
53,152,353,8.92,0.967
53,162,812,9.17,0.9832
53,198,921,7.4,0.9807
53,206,217,5.31,0.965
53,225,293,12.7,0.9771
53,238,227,10.18,0.9959
53,240,505,3.84,0.9741
54,57,484,10.85,0.9568
54,58,553,9.07,0.9568
54,70,924,3.67,0.9808
54,95,693,7.55,0.9872
54,107,752,3.03,0.9754
54,109,612,6.78,0.9919
54,145,184,11.56,0.9734
54,164,917,14.53,0.9944
54,175,663,8.86,0.991
54,196,461,3.08,0.9573
54,237,563,3.94,0.9509
54,249,111,7.36,0.9527
55,61,827,6.13,0.9985
55,70,843,13.66,0.9624
55,75,127,11.29,0.9858
55,80,290,5.35,0.9506
55,84,719,4.43,0.968
55,101,437,13.86,0.9855
55,124,409,4.35,0.9733
55,131,648,13.63,0.9601
55,132,995,10.63,0.972
55,141,172,3.59,0.9624
55,207,262,12.47,0.9552
56,68,298,10.07,0.9764
56,74,218,14.36,0.9546
56,88,711,10.24,0.995
56,91,934,13.24,0.9898
56,104,551,5.37,0.9803
56,118,577,3.98,0.9574
56,167,643,6.32,0.9606
56,170,184,5.17,0.9886
56,221,351,6.68,0.9658
57,94,916,4.82,0.9648
57,116,191,14.84,0.9509
57,118,620,4.67,0.998
57,144,423,3.77,0.9804
57,152,107,10.48,0.9726
57,172,586,9.83,0.9875
57,189,639,4.79,0.9543
57,198,630,6.13,0.9749
57,202,420,11.39,0.9575
57,207,339,5.57,0.9798
57,214,977,13.71,0.9637
57,221,772,5.01,0.9637
57,226,348,13.18,0.9764
57,228,263,8.16,0.9934
57,236,224,11.93,0.9944
58,59,712,7.83,0.9713
58,113,210,4.19,0.9763
58,115,965,12.9,0.9853
58,118,199,4.08,0.967
58,127,240,3.38,0.9852
58,135,572,14.16,0.9512
58,167,479,14.69,0.9525
58,209,111,7.99,0.9802
58,217,946,10.01,0.9806
59,83,263,5.83,0.9733
59,94,375,13.3,0.9677
59,98,339,6.4,0.9955
59,114,862,3.56,0.9707
59,141,213,14.09,0.9807
59,143,257,4.11,0.9541
59,174,471,11.14,0.9878
59,178,695,9.03,0.9853
59,182,336,9.96,0.9825
59,191,149,3.52,0.958
59,192,486,13.71,0.9832
59,211,423,4.62,0.9671
59,217,517,14.7,0.9671
59,249,240,12.29,0.9834
60,80,623,7.72,0.9905
60,98,983,11.54,0.9552
60,99,387,8.62,0.9982
60,100,593,4.94,0.9979
60,158,494,10.85,0.999
60,179,308,14.41,0.9907
60,210,288,10.66,0.9938
60,229,859,10.29,0.9767
60,242,108,7.68,0.965
60,243,971,9.87,0.9776
60,244,458,10.69,0.9768
61,65,994,6.42,0.9719
61,80,206,13.27,0.9563
61,132,348,5.12,0.9527
61,165,982,10.72,0.95
61,185,737,7.15,0.9711
61,187,185,5.16,0.959
61,218,143,3.98,0.9975
62,76,568,11.47,0.9579
62,212,939,6.19,0.9636
62,234,585,4.85,0.9731
62,245,724,12.65,0.965
63,89,318,9.25,0.9794
63,92,210,3.82,0.9906
63,94,860,5.31,0.9546
63,138,649,8.02,0.9717
63,161,618,4.16,0.9734
63,163,383,8.56,0.9513
63,200,852,4.09,0.9506
63,201,968,10.78,0.9832
63,244,787,11.45,0.9604
64,71,790,8.92,0.9633
64,75,509,13.94,0.9653
64,81,775,14.32,0.9751
64,88,215,13.95,0.9599
64,127,574,9.27,0.9874
64,172,578,14.62,0.9574
64,224,441,11.57,0.9525
65,109,639,8.36,0.9643
65,130,393,10.04,0.9876
65,132,321,6.0,0.9599
65,183,754,6.23,0.9772
65,186,721,10.17,0.9669
65,210,551,5.56,0.9923
65,239,933,4.41,0.9751
66,77,478,9.2,0.9723
66,98,117,10.34,0.9849
66,126,828,7.62,0.9598
66,149,235,9.31,0.9596
66,174,604,12.91,0.9508
66,179,974,11.47,0.9908
66,180,831,7.14,0.9927
66,189,576,7.95,0.9909
66,212,724,6.11,0.9775
66,216,153,10.93,0.9751
66,247,767,7.21,0.9692
67,90,795,6.65,0.9696
67,93,838,4.23,0.9553
67,121,820,12.39,0.9581
67,170,405,11.5,0.997
67,185,604,12.75,0.9565
67,186,522,8.02,0.9635
67,197,855,7.22,0.982
68,97,250,4.06,0.9629
68,117,802,3.21,0.9542
68,168,692,5.28,0.9518
68,173,322,13.33,0.998
68,174,437,6.32,0.9564
68,181,805,5.45,0.9599
68,188,700,14.49,0.9786
68,195,854,14.7,0.9865
68,214,605,3.44,0.9773
68,217,843,3.81,0.9847
68,223,776,7.29,0.9563
68,245,563,13.33,0.9645
68,249,805,13.96,0.9723
69,126,828,9.85,0.9597
69,210,115,13.52,0.9946
69,227,443,7.6,0.98
69,246,465,6.07,0.9646
70,92,823,5.45,0.9847
70,99,904,8.46,0.9859
70,126,160,14.18,0.953
70,139,102,12.87,0.9859
70,143,576,6.92,0.9851
70,188,669,9.36,0.9586
70,208,899,7.78,0.9813
70,211,522,13.94,0.9698
70,222,765,5.84,0.9655
70,230,911,9.01,0.9648
70,248,912,4.59,0.9791
71,114,769,6.27,0.9972
71,117,167,6.9,0.9641
71,125,761,5.17,0.9687
71,128,621,10.36,0.9577
71,141,587,11.42,0.9929
71,186,963,14.84,0.9858
71,192,768,13.75,0.9855
71,231,760,9.99,0.9897
71,235,186,8.37,0.9947
71,236,593,12.43,0.9967
71,242,998,11.0,0.9873
72,86,987,12.99,0.9963
72,202,790,12.98,0.9694
72,212,621,6.44,0.9552
72,236,199,11.94,0.9712
73,76,992,12.95,0.9881
73,97,252,10.59,0.9892
73,100,430,3.67,0.9703
73,126,234,3.27,0.9836
73,187,434,12.27,0.985
73,191,323,8.17,0.9964
73,200,572,8.4,0.9742
73,203,670,11.33,0.9608
73,205,580,6.15,0.994
74,83,403,7.26,0.9506
74,99,649,10.11,0.9939
74,102,574,4.23,0.9941
74,127,737,11.41,0.9754
74,140,975,8.97,0.9637
74,146,690,14.61,0.9512
74,147,287,11.15,0.9827
74,171,987,4.16,0.9866
74,173,291,8.67,0.973
74,195,186,7.01,0.9513
74,212,772,4.3,0.9649
74,218,673,7.34,0.9717
74,231,895,13.71,0.9725
74,247,403,8.63,0.9806
74,248,352,10.9,0.9885
75,85,348,5.97,0.9603
75,87,661,10.52,0.9746
75,138,260,11.81,0.9944
75,152,947,5.08,0.9918
75,161,215,7.37,0.969
75,188,414,4.28,0.9899
75,191,857,9.73,0.9582
75,229,512,5.47,0.9878
76,99,372,4.72,0.9837
76,104,139,4.53,0.978
76,111,181,14.05,0.9755
76,126,532,10.7,0.9895
76,147,897,4.59,0.9603
76,165,351,9.72,0.9722
76,175,964,3.22,0.9943
76,212,970,5.25,0.9785
76,218,514,13.28,0.9559
77,84,794,7.02,0.9863
77,151,867,12.86,0.9539
77,231,530,9.12,0.9797
78,113,186,14.36,0.9882
78,125,278,14.88,0.9969
78,168,249,7.72,0.9905
78,187,809,3.06,0.9618
78,214,312,11.91,0.9659
78,228,294,3.94,0.998
78,247,289,8.72,0.9981
79,88,146,10.33,0.9622
79,104,117,6.66,0.9889
79,115,800,3.79,0.9632
79,127,496,3.56,0.971
79,134,199,12.16,0.9809
79,160,245,6.26,0.993
79,172,648,3.19,0.98
79,194,134,4.9,0.9888
79,201,544,3.69,0.9615
79,207,331,13.8,0.994
79,243,534,6.19,0.9969
79,245,247,11.82,0.9545
80,94,225,5.05,0.979
80,135,316,13.61,0.9887
80,224,199,10.69,0.9549
81,128,914,6.13,0.9579
81,135,874,8.59,0.9981
81,136,837,8.68,0.9966
81,154,597,9.26,0.9505
81,158,205,8.72,0.999
81,194,759,7.58,0.9693
81,209,977,9.74,0.9746
81,216,806,5.69,0.9859
82,91,227,7.59,0.9658
82,103,370,3.8,0.9502
82,111,108,4.4,0.9605
82,112,191,8.1,0.9988
82,122,448,12.54,0.9654
82,133,211,11.11,0.9591
82,143,293,11.04,0.9864
82,162,184,12.11,0.9811
82,166,572,4.28,0.9589
82,173,906,10.82,0.9801
82,186,981,8.33,0.9548
82,194,749,13.74,0.9906
82,201,164,10.36,0.9695
82,238,266,6.8,0.9641
83,84,769,5.81,0.9651
83,91,899,14.55,0.9584
83,95,118,8.18,0.9686
83,126,662,13.18,0.9799
83,174,926,6.85,0.9795
83,182,503,7.4,0.9746
83,183,805,10.83,0.9934
83,193,372,3.14,0.9688
83,205,990,14.64,0.9857
83,225,141,6.76,0.9611
83,239,111,7.63,0.9641
84,123,848,3.62,0.9581
84,138,239,6.93,0.9675
84,195,287,12.85,0.9964
84,202,929,6.3,0.9634
84,222,491,3.39,0.9697
84,236,774,3.02,0.976
85,103,283,13.18,0.9657
85,104,923,12.25,0.9818
85,112,392,9.94,0.9645
85,129,115,10.77,0.9948
85,149,180,7.42,0.9933
85,168,292,14.51,0.9681
85,182,983,8.19,0.9748
85,232,361,12.88,0.9725
85,236,441,6.59,0.9657
85,240,998,10.84,0.974
85,243,726,14.83,0.958
86,94,374,7.63,0.9889
86,129,685,4.64,0.9683
86,165,528,14.3,0.9914
86,167,327,13.51,0.9977
86,196,791,5.59,0.9787
86,240,248,13.39,0.9857
87,95,837,8.36,0.9916
87,98,305,11.85,0.9661
87,105,651,11.36,0.9607
87,115,574,4.92,0.9891
87,120,484,4.18,0.9741
87,125,240,10.02,0.9738
87,142,896,7.69,0.9586
87,166,584,5.19,0.9857
87,198,738,8.01,0.9981
87,211,300,13.33,0.9733
87,215,860,11.8,0.9824
87,220,349,10.5,0.9527
87,249,344,11.59,0.9909
88,93,298,11.26,0.9522
88,120,260,12.33,0.9779
88,132,803,8.47,0.9556
88,148,476,4.41,0.9983
88,208,596,12.34,0.956
88,228,513,14.38,0.9534
89,111,528,6.94,0.9635
89,143,869,4.57,0.9574
89,158,573,10.94,0.9874
89,171,504,10.34,0.9891
89,185,223,7.82,0.987
89,214,807,9.79,0.9577
89,217,113,6.96,0.987
89,221,585,13.31,0.9873
89,227,657,8.75,0.9556
90,141,645,6.33,0.9961
90,145,224,3.66,0.9621
90,153,333,14.46,0.9811
